Event,Time,From Background,From Ignition
Background,6/26/2016 14:52,,
Ignition Smoke Barrells,6/26/2016 14:57,0:05:00,0:00:00
Ignition Rear Room,6/26/2016 15:03,0:11:00,0:06:00
Ignition Front Room,6/26/2016 15:04,0:12:00,0:07:00
Flames Across OSB,6/26/2016 15:06,0:14:00,0:09:00
Dispatch Students,6/26/2016 15:06,0:14:10,0:09:10
Student Arrival,6/26/2016 15:08,0:16:14,0:11:14
Entry,6/26/2016 15:10,0:18:23,0:13:23
Victim 1 Out,6/26/2016 15:13,0:21:25,0:16:25
Victim 2 Out,6/26/2016 15:16,0:24:40,0:19:40
Exit Prop,6/26/2016 15:18,0:26:25,0:21:25
Students to Research,6/26/2016 15:20,0:28:08,0:23:08
End of Experiment,6/26/2016 15:22,0:30:00,0:25:00
