Event,Time,From Background,From Ignition
Background,6/28/2016 14:12,,
Ignition Smoke Barrells,6/28/2016 14:15,0:03:10,0:00:00
Ignition Rooms,6/28/2016 14:25,0:13:10,0:10:00
Student Arrival,6/28/2016 14:27,0:15:43,0:12:33
Entry,6/28/2016 14:29,0:17:25,0:14:15
Victim 1 Out,6/28/2016 14:30,0:18:36,0:15:26
Victim 2 Out,6/28/2016 14:32,0:20:20,0:17:10
Exit Prop,6/28/2016 14:37,0:25:40,0:22:30
Engine to Research,6/28/2016 14:39,0:27:10,0:24:00
Truck to Research,6/28/2016 14:39,0:27:18,0:24:08
End of Experiment,6/28/2016 14:41,0:29:10,0:26:00
