Event,Time,From Background,From Ignition
Background,6/29/2016 14:43,,
Ignition Smoke Barrells,6/29/2016 14:46,0:03:00,0:00:00
Ignition Rear Room,6/29/2016 14:52,0:09:00,0:06:00
Ignition Front Room,6/29/2016 14:53,0:10:00,0:07:00
Flames Across OSB/Close Vents,6/29/2016 14:55,0:12:15,0:09:15
Disptach,6/29/2016 14:55,0:12:30,0:09:30
Engine Arrives,6/29/2016 14:57,0:14:25,0:11:25
Entry,6/29/2016 15:00,0:17:02,0:14:02
Victim 1 Out,6/29/2016 15:01,0:18:56,0:15:56
Victim 2 Out,6/29/2016 15:04,0:21:00,0:18:00
Exit Prop,6/29/2016 15:06,0:23:40,0:20:40
Students to Research,6/29/2016 15:08,0:25:30,0:22:30
End Experiment,6/29/2016 15:11,0:28:00,0:25:00
